ITEM___1,ITEM_ID___1,ITEM___2,ITEM_ID___2,support___1,support___2,support___1_2,confidence___1_if_2,confidence___2_if_1
BISCUITS - CORE & NON CORE,12,SALTY SNACKS (2/97),61,47.50%,20.10%,10.10%,50.30%,21.40%
BISCUITS - CORE & NON CORE,12,VERMICELLI & NOODLE,79,47.50%,17.20%,9.30%,54.00%,19.60%
BISCUITS - CORE & NON CORE,12,CHOCOLATE,17,47.50%,18.00%,8.80%,49.00%,18.60%
BISCUITS - CORE & NON CORE,12,WASHING POWDERS/LIQUIDS,80,47.50%,14.40%,7.90%,55.10%,16.70%
BISCUITS - CORE & NON CORE,12,PACKAGED TEA,53,47.50%,13.30%,7.40%,56.00%,15.70%
BISCUITS - CORE & NON CORE,12,SPICES (03/04),69,47.50%,15.40%,7.10%,46.00%,14.90%
BISCUITS - CORE & NON CORE,12,TOILET SOAPS (04/00),73,47.50%,11.80%,6.90%,58.70%,14.60%
BISCUITS - CORE & NON CORE,12,REFINED EDIBLE OILS-ALL PACKS,58,47.50%,12.40%,6.30%,51.00%,13.30%
BISCUITS - CORE & NON CORE,12,CLEANERS - UTENSIL,22,47.50%,9.10%,5.60%,62.10%,11.90%
BISCUITS - CORE & NON CORE,12,TOOTH PASTES,75,47.50%,9.10%,5.40%,59.70%,11.50%
TOILET SOAPS (04/00),73,WASHING POWDERS/LIQUIDS,80,11.80%,14.40%,4.60%,31.80%,38.70%
BISCUITS - CORE & NON CORE,12,BUTTER MARGR  (4/94),15,47.50%,7.80%,4.50%,58.30%,9.50%
BISCUITS - CORE & NON CORE,12,PACKAGED ATTA (1/95),50,47.50%,8.70%,4.20%,48.50%,8.90%
CHOCOLATE,17,SALTY SNACKS (2/97),61,18.00%,20.10%,4.10%,20.20%,22.60%
CLEANERS - UTENSIL,22,WASHING POWDERS/LIQUIDS,80,9.10%,14.40%,4.00%,27.80%,44.10%
PACKAGED TEA,53,WASHING POWDERS/LIQUIDS,80,13.30%,14.40%,4.00%,27.90%,30.20%
SALTY SNACKS (2/97),61,VERMICELLI & NOODLE,79,20.10%,17.20%,3.80%,21.80%,18.60%
SALTY SNACKS (2/97),61,WASHING POWDERS/LIQUIDS,80,20.10%,14.40%,3.60%,25.00%,17.90%
SPICES (03/04),69,WASHING POWDERS/LIQUIDS,80,15.40%,14.40%,3.60%,24.80%,23.10%
ALL IODISED SALT,4,BISCUITS - CORE & NON CORE,12,6.80%,47.50%,3.50%,7.50%,52.20%
REFINED EDIBLE OILS-ALL PACKS,58,WASHING POWDERS/LIQUIDS,80,12.40%,14.40%,3.50%,24.00%,28.00%
PACKAGED TEA,53,SPICES (03/04),69,13.30%,15.40%,3.40%,22.10%,25.70%
CHOCOLATE,17,VERMICELLI & NOODLE,79,18.00%,17.20%,3.30%,19.30%,18.40%
PACKAGED TEA,53,TOILET SOAPS (04/00),73,13.30%,11.80%,3.30%,28.00%,25.00%
PACKAGED TEA,53,REFINED EDIBLE OILS-ALL PACKS,58,13.30%,12.40%,3.10%,24.90%,23.20%
PACKAGED TEA,53,SALTY SNACKS (2/97),61,13.30%,20.10%,3.10%,15.60%,23.70%
SPICES (03/04),69,VERMICELLI & NOODLE,79,15.40%,17.20%,3.10%,18.00%,20.10%
TOILET SOAPS (04/00),73,TOOTH PASTES,75,11.80%,9.10%,3.10%,34.50%,26.60%
TOOTH PASTES,75,WASHING POWDERS/LIQUIDS,80,9.10%,14.40%,3.10%,21.30%,33.60%
VERMICELLI & NOODLE,79,WASHING POWDERS/LIQUIDS,80,17.20%,14.40%,3.10%,21.90%,18.30%
REFINED EDIBLE OILS-ALL PACKS,58,SPICES (03/04),69,12.40%,15.40%,3.00%,19.40%,24.20%
SALTY SNACKS (2/97),61,SPICES (03/04),69,20.10%,15.40%,3.00%,19.20%,14.70%
BISCUITS - CORE & NON CORE,12,BREAKFAST CEREALS,14,47.50%,4.90%,2.80%,58.10%,6.00%
BISCUITS - CORE & NON CORE,12,DETERGENT CAKES/BARS,31,47.50%,4.90%,2.80%,58.10%,6.00%
BISCUITS - CORE & NON CORE,12,PACKAGED PURE GHEE,51,47.50%,4.90%,2.80%,57.80%,5.90%
PACKAGED TEA,53,VERMICELLI & NOODLE,79,13.30%,17.20%,2.80%,16.50%,21.30%
SALTY SNACKS (2/97),61,TOILET SOAPS (04/00),73,20.10%,11.80%,2.80%,23.60%,13.80%
SPICES (03/04),69,TOILET SOAPS (04/00),73,15.40%,11.80%,2.80%,23.90%,18.40%
BISCUITS - CORE & NON CORE,12,KETCHUPS/SAUCES,42,47.50%,5.00%,2.70%,53.10%,5.60%
CHOCOLATE,17,WASHING POWDERS/LIQUIDS,80,18.00%,14.40%,2.70%,18.50%,14.80%
